Group,transient_killer_whales,harbor_porpoise,beluga,gray.whales,bowhead.whales,baleen.whales,pac_walrus,bearded_seal,ringed_seal,spotted_seal,ribbon_seal,procellarids,cormorants,scolopacids,larids,alcids_piscivorous,alcids_planktivorous,eiders,pollock_juv,pollock_adu,pcod_juv,pcod_adu,arctic_cod,saffron_cod,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,eelpouts,atka,shallow_demersals,lg_sculpins,oth_sculpins,snailfish,octopus,squids,salmon_returning,salmon_smolts,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,np_shrimp,sea_stars,brittle_stars,basket_stars,urchin_dollar_cucs,snails,hermit_crabs,misc_crabs,misc_crustaceans,benthic_amphipods,anemones,corals,benthic_urochordate,sponge,bivalves,polychaetes,misc_worms_etc,jellyfish,euphausiids,copepods,pel_zooplankton,hyperiids,chaetognaths,mysids,pel_microbes,ben_microbes,ice_algae,lg_phytoplankton,sm_phytoplankton
transient_killer_whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harbor_porpoise,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beluga,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray.whales,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bowhead.whales,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen.whales,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nr_sole,,0.044463413,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,,,0.007520245,,,,0.0000138,1.59E-05,,,,,,,0.0000119,,,,,,,,0.000348776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ak_plaice,,0.013974664,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,,,0.001982639,,,,,,,,,,0.014023385,,2.10E-09,,,,0.027694295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oth_flatfish,,0.003187609,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,0.002713501,,0.144199083,,0.000736488,,,,,,,,0.111122439,,,,,,0.010748575,0.011177585,,,0.032713543,,,,,,,,,0.000163263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skates,,,,,,0.018052229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eelpouts,,0.001561503,0.01,,,,,,,,0.05,,,,,,,,,0.001745156,,0.006558973,,0.0027888,,0.00035915,0.045677614,0.052592514,,0.085014475,,,,0.001888999,,,,,,,,0.044374944,,0.023117423,,,,,,,0.001745988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atka,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000441831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shallow_demersals,,,,,,,,,,0.010825428,0.05,,0.25,,0.003522515,0.003348903,,,,,,0.000222696,,,,0.001946963,2.56E-05,0.008192179,,0.011130878,,0.02297615,,0.005109723,,,,,,,,0.000175828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg_sculpins,,,0.01,,,,,0.058644977,0.033144883,0.119657473,,,,,0.001718235,0.071357685,,,,0.002754813,,0.00512964,,0.0029999,,,,,,,,0.004705324,,,,,,0.027833413,0.02214355,,,0.007020266,,0.021538225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oth_sculpins,,0.015579699,0.01,,,,,,0.006855117,0.024747892,0.05,,,,0.001718235,0.071339684,,,,0.004289792,0.016998342,0.041566411,,0.010095908,,0.02618438,0.009098296,0.002835898,,0.025285976,,0.01338766,,0.000599349,,,,0.01310218,,,,0.029286174,,0.037469756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snailfish,,,,,,,,,,0.021650856,0.05,,,,0.00704503,0.006587704,,,,0.000182404,,0.02221687,,,,,,,,,,,,,,,,,0.002963404,,,0.004306299,,0.015006682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octopus,,,0.0000674,,,,0.01,,,0.02,,,,,,,,,,,,1.74E-05,,,,,7.42E-05,,,6.03E-05,,,,0.000216766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squids,,0.176421642,,,,0.016883772,,,,,0.05,,,,,,,,,,,,,,,,,0.00207488,,0.376497066,,,,0.0000278,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000961,,,,,,,,,,,
salmon_returning,,0.007336319,,,,0.002933462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon_smolts,,0.000636,,,,0.00025393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capelin,,0.074839978,0.13860164,,,0.037289228,,,0.01,0.114350272,0.05,,,,,,,,0.053640446,0.229732702,,0.003484602,0.016501682,0.016971826,,,0.012796034,,,,,0.136214863,0.020823364,0.000961302,,,0.03816737,,0.098526864,,,0.03713737,0.025062633,,,0.025,,,,,0.004412506,,,,,,,,,,,,,,,,,,,,,,0.0000961,,,,,,,,,,,
sandlance,,0.147623744,0.13860164,,,0.07572637,,,0.01,0.114350272,0.05,,,,,,,,,,,0.003064553,,0.009819466,,,0.000443923,,,,,,,0.00349142,,,,,,,,0.003852201,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000961,,,,,,,,,,,
oth_forage,,0.189548934,0.13860164,,,0.006650932,,,0.01,0.114350272,,0.058677329,0.25,,0.332458901,0.273197947,,,,0.068778954,,0.038230605,0.003950403,0.125080055,,0.00424096,0.028774065,0.02964555,,0.01118948,,0.129841099,,0.007898359,0.031330945,0.002885859,0.018498093,0.10992763,0.065577065,,,0.125315743,,,,0.1,,,,,0.133575005,,,,,,,,,,,,,,,,,,,,,,0.000480733,0.000480733,,,,,,,,,,
bairdi,,,,,0.000316417,,,,,,,,,,,,,,,,,0.000438976,,,,,,0.001229947,,1.87E-09,,,,0.007358694,,,,,,,,0.014494971,,0.001978495,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_crabs,,,,,0.000182,,,,,,,,,,,,,,,,,0.003047718,,,,,,,,1.47E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opilio,,,,,0.001348533,,0.022951852,0.194767728,,,,,,,,,,0.015,,,,0.136668213,0.000350396,0.007762107,,,3.94E-09,,,2.81E-06,,0.089485595,,0.009596712,0.000871847,,0.001378431,0.000846272,0.003210217,,,0.307440841,0.04280781,0.136792803,0.25,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandalid,,0.000658298,0.019932581,,0.005850727,,,,,,,,0.1,,0.005,0.005,,,,0.013617024,,0.000467378,0.019498518,0.012840204,,0.05432367,0.041107475,0.023488158,,0.002970767,,0.001445736,0.001781557,0.1084528,,,0.007884581,0.000668081,,,,0.003004536,,0.003671869,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_shrimp,,0.001240201,0.08,,0.011022476,,0.02,0.246419366,0.1,0.01,,,0.15,,0.0056,0.00515,,,0.002851669,0.188874308,0.008222123,0.14757041,0.04230331,0.179214332,0.000378378,0.4188366,0.023479965,0.039160079,0.003731922,0.005098011,0.692984,0.006391041,0.005905126,0.1015074,0.029578919,1.10E-05,0.035347943,0.582840103,0.016519384,,0.010273983,0.079410583,0.004921948,0.237887597,,,,,,,0.043782597,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000004,,,,,,,,,,,,,,,,,,,0.006281156,0.000603733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brittle_stars,,,,,,,,,,,,,,,,,,,,,,,,7.33E-06,,0.000048,9.56E-05,2.54E-05,0.00000108,2.09E-05,,,0.000141654,0.2476917,0.000698179,0.001836574,0.002957132,,0.000331249,,,4.57E-06,0.226464508,,,,,,,,6.65E-06,0.08267689,0.02740512,0.07161608,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
basket_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urchin_dollar_cucs,,,,,,,0.080161409,,,,,,,,,,,,,,,,,,,,,,,,,,0.006102017,0.000287838,0.007475623,0.004300767,,,0.003741935,,,,,,,,,,,,1.33E-05,0.01471517,0.1664102,0.007422532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snails,,,,,0.000530852,,0.06,0.016994439,,,,,,,0.005283926,0.003017652,,0.155,,,,,,0.006392084,,0.000221851,4.55E-05,,,,,0.005075142,0.002724012,0.02002122,0.002827857,0.000230736,,,0.008115271,,,0.002478794,0.005293466,,0.25,,,,,,0.001504616,0.03757456,0.1977044,0.04829948,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermit_crabs,,,,,0.000745237,,,,,,,,,,,,,,,,,0.008855572,0.000282074,0.013422022,,0.005477827,0.000188828,6.52E-05,,0.002584778,0.000443331,0.112353262,0.016327485,0.01601613,,,,0.00067353,,,,0.025241029,0.006179155,0.00079858,,,,,,,,0.01371055,0.01625111,0.03006518,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc_crabs,,,,,0.0000809,,0.007048148,0.060148857,,,,,,,0.005283773,0.003044799,,0.015,,,,0.039734736,7.30E-05,0.011365007,0.057418247,,,,,,,0.016133268,0.00205446,0.001226971,0.00101172,0.001044347,,0.001292811,0.007611446,,0.832017092,0.077606642,0.029764299,0.104334567,0.25,,,,,,,0.01371055,0.01625111,0.03006518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc_crustaceans,,,,0.009458367,,,,,,,,,,,0.00012475,,,,0.039778924,0.000259481,0.020990367,0.000263185,0.061186775,0.04036466,0.013932432,,3.91E-06,5.70E-05,7.69E-08,1.13E-06,,,0.002144377,0.0013268,0.001381911,3.58E-05,0.057043682,,0.000578805,,0.001241272,0.00203107,0.002105208,0.012875067,,0.025,,,0.000151515,,0.137121249,0.00480537,0.0151329,0.01720634,,,,,0.25,,,,,,,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,
benthic_amphipods,,,,0.9,0.011103766,,0.044768892,0.011329626,0.04,0.01,,0.002204452,,0.1,0.034460574,0.023257024,,0.015,0.059122362,0.069559175,0.265907841,0.061859816,0.240750361,0.233544155,,0.00187046,0.001105634,0.007237297,0.002324875,0.00155483,0.0000155,0.000745238,0.259003672,0.02340099,0.260286156,0.070381374,0.262095467,0.001139443,0.563250238,,0.133983921,0.046844106,0.161711807,0.180924944,,,,,0.000441558,,0.256272318,0.0380703,0.009379331,0.04782059,0.3,0.3,,0.1,0.25,,,,,,,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,
anemones,,,,,,,,,,,,,,,,,,,,,,,,0.001251774,,,,,,,,0.000802718,,,0.001411262,0.005639676,,,,,,,0.105504206,,,,,,,,,,,0.001850753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01153269,0.04574799,0.006292887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benthic_urochordate,,,,,,,0.009244314,,,,,,,,,,,,,,,7.24E-05,,,,,1.01E-06,,,,,,,0.001320476,0.000891111,0.002935811,,,,,,0.007681623,,,,,,,,,,,0.009379331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sponge,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70E-09,,,,,,,,,,,,,,,,,,,,,,,,,0.001858451,,0.002601985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bivalves,,,,0.06585986,,,0.699,0.328559155,,,,,,,0.00000153,0.00000265,,0.8,,,,0.000516955,,0.007873839,0.048851351,,0.000195802,0.000307729,,,,0.019157349,0.217553379,0.02423739,0.014827666,0.097805668,0.144428151,,0.068474381,,0.001992708,0.003918322,0.005909251,0.001622147,0.25,,,,,,0.039772266,0.3075563,0.1840477,0.2524816,0.1,0.1,0.91,,,,0.2,0.25,0.25,,,,,,,,,,,,,,,,,,,,,
polychaetes,,,,0.023084806,0.01881911,,0.038033749,0.011329626,,,,,,,0.023717882,0.008201232,,,0.015667598,0.009932224,0.019252232,0.01744292,0.003502248,0.1549476,,0.000213602,0.00093772,0.00247858,,1.17E-10,0.0000851,,0.292008218,0.03877427,0.494711947,0.738634868,0.116865608,,0.042400814,,0.002192902,0.042763857,0.382660624,0.006555759,,,,,,,0.177724991,0.3836094,0.1886641,0.2847306,,,0.02,,,,0.2,0.25,0.25,,,,,,,,,,,,,,,,,,,,,
misc_worms_etc,,,,,,,0.007791636,,,,,,,,,,,,,,,0.075976792,0.005270537,0.020454791,,,,0.000785952,,,,,0.029898474,0.005456334,0.126275966,0.073884557,0.14848913,,0.035684943,,,0.002086678,,,,,,,,,,,0.02596399,0.02391928,,,0.01,,,,0.2,0.25,0.25,,,,,,,,,,,,,,,,,,,,,
jellyfish,,,,,,,,,,,,,,,,,0.019260403,,,,,,,,,,2.49E-06,,,,,,,0.00000281,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004807326,,,,,,,,,,,
euphausiids,,,,,0.461333599,0.577093751,,,,,,0.173001945,,0.09,0.005254011,0.002154924,0.12642946,,0.086736533,0.104678899,0.133946932,0.000804573,0.031297778,0.026304088,0.001285567,0.2458857,0.09751977,0.030483468,0.9743532,0.022460133,,,,0.1166535,,,0.000475963,,0.000188539,0.9,,1.28E-05,,0.003992396,,0.42,0.2,0.25,,0.9,,,,0.000603733,0.2,0.2,,,,,,,,,,,,,,,,,0.06153378,,,,,0.05,,,,,,
