Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_beluga,F_bowhead,F_walrus,F_bearded,F_ringed,F_spotted,F_ribbon,F_herring,F_king_crab,Disc_beluga,Disc_bowhead,Disc_walrus,Disc_bearded,Disc_ringed,Disc_spotted,Disc_ribbon,Disc_herring,Disc_king_crab
hermit_crabs,0,0.674663241,0.82,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc_crabs,0,0.319727524,0.82,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc_crustaceans,0,,2.008,,0.8,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic_amphipods,0,21.95889004,1,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anemones,0,0.047921746,1,,,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corals,0,0.064348781,0.0460517,,,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic_urochordate,0,1.874447825,3.58,,,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sponge,0,0.07974217,1,,,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bivalves,0,168.7140202,0.755625,,,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polychaetes,0,67.18628163,2.915733333,,,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc_worms_etc,0,,2.23,,0.8,0.2,0,0.4,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jellyfish,0,0.064832648,0.88,3,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euphausiids,0,,5.475,,0.8,0.35,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
